step	n_strong	best_head	best_method	best_tau	destroyed_floor
0	0	L2H5	C-D+L	0.1541	0.059
1000	0	L0H0	C-D+L	0.7226	0.0629
2000	2	L2H1	C-D+L	0.8704	0.0646
3000	2	L0H1	C-D+L	1.0	0.0682
4000	0	L2H5	C-D+L	0.9957	0.0674
5000	0	L2H7	C-D+L	1.0	0.067
6000	1	L0H4	C-D+L	1.0	0.0667
7000	2	L0H4	C-D+L	1.0	0.0672
8000	3	L0H2	C-D+L	1.0	0.0667
9000	4	L0H1	C-D+L	1.0	0.0675
10000	4	L0H1	C-D+L	1.0	0.0665
