H0,H1,H2,H3,H4,H5,H6,H7
-0.7242,0.4504,0.4345,-0.2133,-0.1478,-0.1558,0.0704,0.4901
-0.2986,-0.6210,0.0188,-0.2034,-0.1022,-0.0813,-0.6022,-0.0665
-0.1548,-0.0992,-0.1071,-0.1696,-0.0982,-0.3175,0.0139,-0.2917
-0.2748,-0.0744,-0.3026,-0.2927,-0.3145,0.0556,-0.2431,-0.1032
