H0,H1,H2,H3,H4,H5,H6,H7
-0.2669,-0.1190,-0.2450,-0.2292,-0.3175,-0.1935,0.0823,-0.2550
0.1280,0.2639,-0.3879,0.3730,-0.1577,-0.2659,-0.2659,-0.3363
-0.2421,-0.2956,-0.4444,-0.4107,0.1022,-0.4226,-0.3730,-0.2758
-0.4147,0.2550,-0.4812,-0.3403,-0.4990,-0.4246,0.2698,-0.3363
