Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
step   420->  421/10000 | loss=5.7738 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 183s
step   430->  431/10000 | loss=5.7025 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 185s
step   440->  441/10000 | loss=5.6605 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 188s
step   450->  451/10000 | loss=5.7129 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 190s
step   460->  461/10000 | loss=5.6839 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 192s
step   470->  471/10000 | loss=5.7006 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 195s
step   480->  481/10000 | loss=5.6801 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 197s
step   490->  491/10000 | loss=5.6966 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 200s
step   500->  501/10000 | loss=5.6900 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 202s
step   510->  511/10000 | loss=5.6362 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 205s
step   520->  521/10000 | loss=5.6734 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 207s
step   530->  531/10000 | loss=5.5332 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 209s
step   540->  541/10000 | loss=5.5817 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 212s
step   550->  551/10000 | loss=5.6666 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 214s
step   560->  561/10000 | loss=5.5561 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 217s
step   570->  571/10000 | loss=5.5351 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 219s
step   580->  581/10000 | loss=5.5840 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 222s
step   590->  591/10000 | loss=5.6036 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 224s
[Eval @ 600] alpha=0.0000
[Eval @ 600] train_obj=5.5339 | ori_l2r=5.4623 | model_order=5.5353 | unstructured=5.5339 | rw=5.5250
step   600->  601/10000 | loss=5.5376 | alpha=0.000 | lr=1.00e-03 | 2.78s/step | ETA 7.3h | total 252s
step   610->  611/10000 | loss=5.5472 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 254s
step   620->  621/10000 | loss=5.5513 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 257s
step   630->  631/10000 | loss=5.5679 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 259s
step   640->  641/10000 | loss=5.5730 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 262s
step   650->  651/10000 | loss=5.5824 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 264s
step   660->  661/10000 | loss=5.5118 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 267s
step   670->  671/10000 | loss=5.5166 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 269s
step   680->  681/10000 | loss=5.5348 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 271s
step   690->  691/10000 | loss=5.5246 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 274s
step   700->  701/10000 | loss=5.4770 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 276s
step   710->  711/10000 | loss=5.4813 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 279s
step   720->  721/10000 | loss=5.4859 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 281s
step   730->  731/10000 | loss=5.4342 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 284s
step   740->  741/10000 | loss=5.5029 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 286s
step   750->  751/10000 | loss=5.4771 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 288s
step   760->  761/10000 | loss=5.4692 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 38m | total 291s
step   770->  771/10000 | loss=5.4324 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 293s
step   780->  781/10000 | loss=5.4238 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 296s
step   790->  791/10000 | loss=5.4803 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 298s
[Eval @ 800] alpha=0.0000
