ckpt_group,step,frame,B_or_BT,consensus_tau_l2r,consensus_tau_rev_l2r,uniform_consensus_tau_l2r,uniform_consensus_tau_rev_l2r,mean_quality,std_quality,r_quality_abs_tau,mean_near_diag_mass,mean_row_entropy,mean_top1_mass
old,5000,model,B,-0.24510416666666665,0.24510416666666665,-0.38882936507936505,0.38882936507936505,2.997602166487923e-17,1.7379284390068388,-0.26824980877025273,0.09865399669594829,2.757212947402307,0.2762343546158768
old,5000,model,BT,-0.736498015873016,0.736498015873016,-0.32150297619047613,0.32150297619047613,-1.3322676295501878e-17,1.636244837715198,0.4214553635505993,0.09865399669594829,2.7211861380667086,0.2831601001342485
old,5000,physical,B,-0.24510416666666665,0.24510416666666665,-0.385014880952381,0.385014880952381,2.3314683517128286e-17,1.7379284390068388,-0.2682498087702528,0.5168704749490106,2.7572129474023064,0.2762343546158768
old,5000,physical,BT,-0.736498015873016,0.736498015873016,-0.31615575396825396,0.31615575396825396,-6.661338147750939e-18,1.636244837715198,0.4214553635505992,0.5168704749490106,2.7211861380667086,0.2831601001342485
old,10000,model,B,0.6649603174603175,-0.6649603174603175,0.12013888888888888,-0.12013888888888888,-1.2212453270876722e-17,1.4276324988987563,0.09261307760576834,0.0979572913345396,2.557372077163066,0.3437236491797634
old,10000,model,BT,-0.7686011904761904,0.7686011904761904,-0.29564484126984125,0.29564484126984125,-1.5543122344752193e-17,1.6545771695333682,0.43543318595446345,0.0979572913345396,2.5185442287080195,0.3502145458209561
old,10000,physical,B,0.6649603174603175,-0.6649603174603175,0.12638392857142855,-0.12638392857142855,-6.661338147750939e-18,1.4276324988987563,0.09261307760576835,0.5653019720478073,2.557372077163066,0.3437236491797634
old,10000,physical,BT,-0.7686011904761904,0.7686011904761904,-0.29029265873015875,0.29029265873015875,1.1102230246251566e-18,1.6545771695333682,0.4354331859544635,0.5653019720478073,2.5185442287080195,0.3502145458209561
old,20000,model,B,0.8973809523809524,-0.8973809523809524,0.4173065476190476,-0.4173065476190476,-3.441691376337985e-17,1.4968283508183642,0.41519382925565335,0.09882161661591744,2.348727373057905,0.41319629912507777
old,20000,model,BT,-0.9715228174603174,0.9715228174603174,-0.5609771825396825,0.5609771825396825,-2.220446049250313e-18,1.6895479586514675,0.5940229577751343,0.09882161661591744,2.3090994763738792,0.41924569053419797
old,20000,physical,B,0.8973809523809524,-0.8973809523809524,0.4227430555555556,-0.4227430555555556,-3.8857805861880476e-17,1.4968283508183642,0.4151938292556534,0.6110666488916674,2.348727373057905,0.41319629912507777
old,20000,physical,BT,-0.9715228174603174,0.9715228174603174,-0.5558333333333333,0.5558333333333333,8.881784197001253e-18,1.6895479586514675,0.5940229577751344,0.6110666488916674,2.3090994763738792,0.419245690534198
new,5000,model,B,-0.1950049603174603,0.1950049603174603,-0.18062003968253967,0.18062003968253967,-1.8873791418627663e-17,1.5318108701302209,-0.31659338418875593,0.09609418275167173,3.150462674282785,0.21022449084695957
new,5000,model,BT,-0.8964831349206349,0.8964831349206349,-0.48885416666666665,0.48885416666666665,-2.6645352591003756e-17,1.6103822894404864,0.5702051735261984,0.09609418275167173,3.1220734589950268,0.21717401502903186
new,5000,physical,B,-0.1950049603174603,0.1950049603174603,-0.17571924603174602,0.17571924603174602,1.1102230246251566e-18,1.5318108701302222,-0.31659338418875616,0.3939532944579106,3.150462674282735,0.21022449084698272
new,5000,physical,BT,-0.8964831349206349,0.8964831349206349,-0.48407738095238095,0.48407738095238095,-3.7747582837255325e-17,1.610382289440506,0.5702051735261986,0.3939532944579106,3.12207345899498,0.21717401502905642
new,10000,model,B,-0.2211755952380952,0.2211755952380952,-0.2530704365079365,0.2530704365079365,3.608224830031759e-17,1.3769543298013494,-0.1513937071316557,0.09647702545557472,3.0280168760111668,0.25644481763840654
new,10000,model,BT,-0.7358035714285713,0.7358035714285713,-0.3794345238095238,0.3794345238095238,1.5543122344752193e-17,1.3874898138736553,0.3327963534128998,0.09647702545557472,2.99998147470483,0.26232144367241395
new,10000,physical,B,-0.2211755952380952,0.2211755952380952,-0.24822420634920633,0.24822420634920633,-5.551115123125783e-19,1.3769543298013494,-0.15139370713165573,0.4116916783999773,3.0280168760111668,0.25644481763840654
new,10000,physical,BT,-0.7358035714285713,0.7358035714285713,-0.37432539682539684,0.37432539682539684,3.3306690738754695e-17,1.3874898138736553,0.3327963534128999,0.4116916783999773,2.99998147470483,0.26232144367241395
new,20000,model,B,0.046865079365079367,-0.046865079365079367,0.013204365079365076,-0.013204365079365076,1.0547118733938987e-17,1.126156401894344,-0.18239037297592053,0.09781340709055651,2.925137259600261,0.28781707382332944
new,20000,model,BT,-0.8066021825396825,0.8066021825396825,-0.3861755952380952,0.3861755952380952,3.885780586188048e-18,1.172739192351786,0.4165722660882325,0.09781340709055651,2.898170092827246,0.2935038867002609
new,20000,physical,B,0.046865079365079367,-0.046865079365079367,0.01834325396825397,-0.01834325396825397,3.8857805861880476e-17,1.126156401894344,-0.18239037297592053,0.4144404491923083,2.925137259600261,0.28781707382332944
new,20000,physical,BT,-0.8066021825396825,0.8066021825396825,-0.3809623015873016,0.3809623015873016,-8.326672684688674e-18,1.172739192351786,0.4165722660882325,0.4144404491923083,2.898170092827246,0.2935038867002609
