ckpt_group,step,head,tau_l2r,tau_rev_l2r,abs_tau_gt_0.5,quality,quality_std,frame,B_or_BT,near_diag_mass,row_entropy,top1_mass,margin
old,5000,0,-0.3448363095238095,0.3448363095238095,0.95,-1.1896840979233678,0.7719688939869681,model,B,0.09549640156104423,2.409527981584836,0.2249308391453778,1.529361219940988
old,5000,1,-0.26043650793650797,0.26043650793650797,0.15,2.1657623241076487,0.3918527949523388,model,B,0.1046416325580547,1.752188251679586,0.5278628719178122,3.922786934172828
old,5000,2,-0.02576884920634921,0.02576884920634921,0.0,2.1914661631500483,0.6866717545893721,model,B,0.10739784839360876,1.3469517212273354,0.6627196163946257,4.34837240701507
old,5000,3,-0.01169642857142857,0.01169642857142857,0.045,-1.620798415402143,0.8204469388127005,model,B,0.09409235919957429,4.018987274703743,0.0384510151125132,0.49492779787241387
old,5000,4,-0.10447916666666666,0.10447916666666666,0.405,-1.5015613579266898,1.0672091654670002,model,B,0.09413761589131527,3.9614581401354814,0.04978978558190075,0.7397782734803482
old,5000,5,-0.06027281746031746,0.06027281746031746,0.0,-1.2570290771409072,0.7011055167225297,model,B,0.09315866300177085,4.066542456522469,0.03780538996746034,0.821726342362023
old,5000,6,-0.4882142857142857,0.4882142857142857,0.77,-0.27990683270769934,0.8950539324618948,model,B,0.1005014576880863,2.912837600437517,0.1579035840544434,1.2897191560830483
old,5000,7,-0.17834821428571423,0.17834821428571423,0.0,1.4917512938431106,0.40442032987045784,model,B,0.09980599527413198,1.5892101529274862,0.5104117347528813,2.8309295785177313
old,5000,0,0.14827876984126984,-0.14827876984126984,0.74,-1.0411288419753075,1.2017987575741247,model,BT,0.09549640156104423,2.366690169710682,0.23742530014572175,1.5473981194525859
old,5000,1,-0.7516617063492064,0.7516617063492064,0.78,2.0169796182239215,0.6210705746907941,model,BT,0.1046416325580547,1.7203802963197468,0.533580547372495,4.418898591741362
old,5000,2,-0.897906746031746,0.897906746031746,0.905,2.1681686539266547,0.6959576876892163,model,BT,0.10739784839360876,1.318715919181967,0.6669035220274026,4.808837120299262
old,5000,3,0.19258928571428569,-0.19258928571428569,0.58,-1.3267214698124423,0.9941254346805246,model,BT,0.09409235919957429,3.9965169336521167,0.04279140708036851,0.6350245616673447
old,5000,4,0.08340773809523809,-0.08340773809523809,0.095,-0.8636944854503545,0.8512044792025678,model,BT,0.09413761589131527,3.905776340503381,0.05894696075592613,0.9136224431470847
old,5000,5,0.0633234126984127,-0.0633234126984127,0.0,-0.7215244803554393,0.8978485366231138,model,BT,0.09315866300177085,4.032251971281638,0.045277105196926425,0.9908516943013567
old,5000,6,0.1864484126984127,-0.1864484126984127,0.655,-1.0534326632435311,1.0674472991589916,model,BT,0.1005014576880863,2.8689180461162174,0.16656504177613699,1.3218871865630057
old,5000,7,-0.9373015873015873,0.9373015873015873,0.99,0.8213536686864985,0.883941162261892,model,BT,0.09980599527413199,1.5602394277679215,0.5137909167190106,2.9563134605867356
old,5000,0,-0.3448363095238095,0.3448363095238095,0.95,-1.1896840979233678,0.7719688939869681,physical,B,0.7290425323536427,2.4095279815848354,0.2249308391453778,1.529361219940988
old,5000,1,-0.26043650793650797,0.26043650793650797,0.15,2.1657623241076487,0.39185279495233877,physical,B,0.7537683920002977,1.752188251679586,0.5278628719178122,3.922786934172828
old,5000,2,-0.02576884920634921,0.02576884920634921,0.0,2.1914661631500483,0.6866717545893721,physical,B,0.8176237901083294,1.3469517212273354,0.6627196163946256,4.34837240701507
old,5000,3,-0.01169642857142857,0.01169642857142857,0.045,-1.620798415402143,0.8204469388127005,physical,B,0.16309689548375503,4.0189872747037425,0.0384510151125132,0.49492779787241387
old,5000,4,-0.10447916666666666,0.10447916666666666,0.405,-1.5015613579266898,1.0672091654670002,physical,B,0.1612044603460857,3.9614581401354814,0.04978978558190076,0.7397782734803482
old,5000,5,-0.06027281746031746,0.06027281746031746,0.0,-1.2570290771409072,0.7011055167225297,physical,B,0.10725280506447771,4.066542456522469,0.03780538996746035,0.821726342362023
old,5000,6,-0.4882142857142857,0.4882142857142857,0.77,-0.2799068327076994,0.895053932461895,physical,B,0.5206862630181847,2.912837600437517,0.1579035840544434,1.2897191560830483
old,5000,7,-0.17834821428571423,0.17834821428571423,0.0,1.4917512938431106,0.40442032987045784,physical,B,0.8822886612173119,1.5892101529274862,0.5104117347528813,2.8309295785177317
old,5000,0,0.14827876984126984,-0.14827876984126984,0.74,-1.0411288419753075,1.2017987575741247,physical,BT,0.7290425323536428,2.3666901697106826,0.23742530014572175,1.5473981194525859
old,5000,1,-0.7516617063492064,0.7516617063492064,0.78,2.0169796182239215,0.6210705746907941,physical,BT,0.7537683920002977,1.7203802963197468,0.533580547372495,4.418898591741362
old,5000,2,-0.897906746031746,0.897906746031746,0.905,2.1681686539266547,0.6959576876892164,physical,BT,0.8176237901083294,1.318715919181967,0.6669035220274026,4.808837120299262
old,5000,3,0.19258928571428569,-0.19258928571428569,0.58,-1.3267214698124423,0.9941254346805246,physical,BT,0.16309689548375503,3.9965169336521167,0.04279140708036851,0.6350245616673447
old,5000,4,0.08340773809523809,-0.08340773809523809,0.095,-0.8636944854503545,0.8512044792025678,physical,BT,0.1612044603460857,3.905776340503381,0.05894696075592613,0.9136224431470847
old,5000,5,0.0633234126984127,-0.0633234126984127,0.0,-0.7215244803554393,0.8978485366231138,physical,BT,0.10725280506447771,4.032251971281638,0.045277105196926425,0.9908516943013567
old,5000,6,0.1864484126984127,-0.1864484126984127,0.655,-1.0534326632435311,1.0674472991589916,physical,BT,0.5206862630181847,2.8689180461162183,0.16656504177613699,1.3218871865630057
old,5000,7,-0.9373015873015873,0.9373015873015873,0.99,0.8213536686864985,0.8839411622618921,physical,BT,0.8822886612173119,1.560239427767922,0.5137909167190106,2.9563134605867356
old,10000,0,-0.9059474206349206,0.9059474206349206,0.985,-2.633982732442853,0.5811048799681895,model,B,0.0923226739827677,1.960039460415083,0.37684117331178707,1.632286167736447
old,10000,1,1.0,-1.0,1.0,1.4531465316919452,0.6768457886428654,model,B,0.10610173333320809,1.4387542193403133,0.6505522522686633,4.544641492581032
old,10000,2,0.9279761904761904,-0.9279761904761904,0.925,1.6045029757854672,0.6573481193128202,model,B,0.10622941221868726,1.224879751944571,0.7116222825988823,4.555347121696975
old,10000,3,-0.09509920634920635,0.09509920634920635,0.005,-0.5805657518088104,0.3560815377872023,model,B,0.0938537407534674,3.996082660779706,0.041646137366818846,0.5353024839550782
old,10000,4,-0.338422619047619,0.338422619047619,0.455,-0.9322282251377096,0.5743611418854159,model,B,0.0942772127964221,3.964126871822898,0.04945613947603835,0.7141058042124626
old,10000,5,-0.04849206349206349,0.04849206349206349,0.0,-0.345298481649053,0.30080762775362946,model,B,0.09362238250761103,4.064501131381715,0.037631242244303836,0.793375178284893
old,10000,6,0.7212549603174603,-0.7212549603174603,0.89,0.5717133865998778,0.4744407104002042,model,B,0.09901524629113455,2.358404720078003,0.30865153379410704,2.639458341669679
old,10000,7,-0.10982638888888889,0.10982638888888889,0.0,0.8627122969611358,0.5333922430752933,model,B,0.09823592879301868,1.45218780154224,0.5733884323775065,3.3321149203907505
old,10000,0,0.7129861111111111,-0.7129861111111111,0.985,-1.9499976121192202,0.7763827497044177,model,BT,0.0923226739827677,1.9141902478720556,0.38752223585576284,1.7899241354046063
old,10000,1,-0.8636160714285714,0.8636160714285714,0.895,1.9876895945296442,0.6210651949640462,model,BT,0.1061017333332081,1.4009052942534863,0.6562285190162727,4.853501388551056
old,10000,2,-0.8807986111111111,0.8807986111111111,0.895,2.072631349301157,0.5439110856843219,model,BT,0.10622941221868726,1.1848127332313172,0.7189031643290614,4.934197460015427
old,10000,3,0.4350148809523809,-0.4350148809523809,0.41,-1.6808254204823831,0.871279593773089,model,BT,0.0938537407534674,3.9716302105334647,0.045666061852457446,0.691576173372394
