step,diffuse_count,mass_entropy,softmax_entropy,top1_layer_share,strong_L0,strong_L1,strong_L2,strong_L3
0,32,3.4646,3.4651,0.2555,0,0,0,0
200,32,3.4624,3.4633,0.271,0,0,0,3
400,32,3.4641,3.4645,0.2627,0,0,0,3
600,32,3.4648,3.4651,0.2556,0,0,0,0
800,32,3.4643,3.4647,0.2523,0,0,0,0
1000,30,3.4621,3.4633,0.2606,1,0,0,0
1200,17,3.4119,3.4499,0.2643,1,0,0,0
1400,19,3.4151,3.4503,0.2864,0,0,0,0
1600,13,3.4225,3.452,0.2828,0,0,0,0
1800,12,3.3978,3.4475,0.2931,0,0,0,0
2000,13,3.3747,3.4416,0.2712,0,0,1,0
2200,11,3.3399,3.4355,0.2919,0,1,1,0
2400,10,3.3248,3.4338,0.2868,0,1,1,0
2600,11,3.3112,3.4289,0.3176,0,2,1,0
2800,9,3.3145,3.432,0.3011,0,2,0,0
3000,11,3.3446,3.4344,0.3032,0,3,0,0
3200,10,3.3424,3.4366,0.3364,0,3,0,0
3400,9,3.3385,3.434,0.3189,0,3,0,0
3600,9,3.3464,3.4353,0.3288,0,2,0,0
3800,10,3.3258,3.4326,0.3269,0,2,0,0
4000,10,3.3376,3.4351,0.3207,0,2,0,0
4200,9,3.3317,3.4349,0.3334,0,2,0,0
4400,10,3.3514,3.4382,0.3334,0,2,0,0
4600,10,3.3303,3.4328,0.3423,0,3,0,0
4800,9,3.3431,3.4369,0.3374,0,2,0,0
5000,9,3.3081,3.431,0.3418,0,2,0,0
5200,9,3.3285,3.4334,0.3399,0,2,0,0
5400,8,3.3255,3.4342,0.3398,0,2,0,0
5600,8,3.3171,3.4307,0.3448,0,2,0,0
5800,8,3.3299,3.4336,0.3425,0,2,0,0
6000,9,3.3205,3.43,0.3649,0,3,0,0
6200,11,3.3439,3.4352,0.3284,0,2,0,0
6400,9,3.3239,3.4308,0.3377,0,3,0,0
6600,8,3.3119,3.4316,0.352,0,2,0,0
6800,11,3.3086,3.4303,0.3639,0,2,0,0
7000,7,3.3036,3.4278,0.3557,0,3,0,0
7200,10,3.2985,3.4285,0.3689,0,2,0,0
7400,9,3.3168,3.4304,0.3577,0,2,0,0
7600,9,3.3087,3.4276,0.3555,0,3,0,0
7800,10,3.2906,3.4278,0.3619,0,2,0,0
8000,8,3.3055,3.4274,0.3618,0,3,0,0
8200,9,3.3313,3.433,0.3469,0,2,0,0
8400,10,3.3129,3.4296,0.3651,0,3,0,0
8600,7,3.3256,3.4327,0.3451,0,2,0,0
8800,9,3.3414,3.4335,0.3545,0,3,0,0
9000,9,3.322,3.4295,0.3608,0,3,0,0
9200,8,3.3374,3.4342,0.3479,0,2,0,0
9400,8,3.3335,3.4329,0.3422,0,2,0,0
9600,9,3.3135,3.4284,0.3594,0,3,0,0
9800,10,3.3227,3.4297,0.3602,0,2,0,0
10000,9,3.2873,3.424,0.3797,0,4,0,0
