ckpt_group,step,frame,B_or_BT,consensus_tau_l2r,consensus_tau_rev_l2r,uniform_consensus_tau_l2r,uniform_consensus_tau_rev_l2r,mean_quality,std_quality,r_quality_abs_tau,mean_near_diag_mass,mean_row_entropy,mean_top1_mass
compile_a,5000,model,B,0.03734722222222222,-0.03734722222222222,0.03026984126984127,-0.03026984126984127,9.547918011776345e-18,0.657154365147222,0.06831444059860664,0.09547145914099796,2.8809790400912205,0.21269927899185567
compile_a,5000,model,BT,0.00805952380952381,-0.00805952380952381,-0.007015873015873014,0.007015873015873014,1.4654943925052067e-17,1.1083538649098374,0.09330344054584955,0.09547145914099796,2.8193636413484517,0.22778652469551175
compile_a,5000,physical,B,0.03734722222222222,-0.03734722222222222,0.03438095238095238,-0.03438095238095238,2.220446049250313e-19,0.657154365147222,0.06831444059860663,0.3884887705421174,2.8809790400912205,0.21269927899185567
compile_a,5000,physical,BT,0.00805952380952381,-0.00805952380952381,-0.0032678571428571435,0.0032678571428571435,1.865174681370263e-17,1.1083538649098374,0.09330344054584956,0.3884887705421174,2.8193636413484517,0.22778652469551175
compile_b,5000,model,B,0.07295039682539682,-0.07295039682539682,0.11657539682539682,-0.11657539682539682,1.1102230246251566e-19,0.6719646774573719,-0.1784619915930438,0.09460249925825516,2.9672683901438806,0.20290778842469323
compile_b,5000,model,BT,0.07510317460317459,-0.07510317460317459,0.054507936507936505,-0.054507936507936505,-1.1102230246251566e-17,1.0883659706479236,0.016065853866623268,0.09460249925825516,2.897890772585139,0.21912267476196556
compile_b,5000,physical,B,0.07295039682539682,-0.07295039682539682,0.12033531746031746,-0.12033531746031746,-6.8833827526759705e-18,0.6719646774573719,-0.17846199159304385,0.37692933756399666,2.9672683901438806,0.20290778842469323
compile_b,5000,physical,BT,0.07510317460317459,-0.07510317460317459,0.058204365079365085,-0.058204365079365085,-1.1546319456101627e-17,1.0883659706479236,0.016065853866623268,0.37692933756399666,2.897890772585139,0.2191226747619656
nocompile_a,5000,model,B,0.021488095238095237,-0.021488095238095237,-0.006753968253968256,0.006753968253968256,3.524958103184872e-18,0.5873368971729875,-0.1362130598100162,0.09397265884561838,2.9214424494584215,0.21377356477656317
nocompile_a,5000,model,BT,-0.044492063492063486,0.044492063492063486,-0.05376190476190476,0.05376190476190476,2.4424906541753442e-18,1.035603023586685,-0.01213232396962404,0.09397265884561838,2.855285762915444,0.22974721686762078
nocompile_a,5000,physical,B,0.021488095238095237,-0.021488095238095237,-0.002571428571428569,0.002571428571428569,6.38378239159465e-18,0.5873368971729875,-0.1362130598100162,0.39003449418420694,2.9214424494584215,0.21377356477656317
nocompile_a,5000,physical,BT,-0.044492063492063486,0.044492063492063486,-0.050013888888888886,0.050013888888888886,1.1102230246251566e-18,1.035603023586685,-0.012132323969624055,0.39003449418420694,2.855285762915444,0.22974721686762076
nocompile_b,5000,model,B,0.11934126984126983,-0.11934126984126983,0.09351190476190475,-0.09351190476190475,1.759703494030873e-17,0.7204842723035295,0.07466978632977099,0.09504121294256968,3.0291750144160923,0.18679634575695658
nocompile_b,5000,model,BT,0.05251388888888889,-0.05251388888888889,0.05388690476190476,-0.05388690476190476,5.3290705182007515e-18,1.2327323817286275,-0.017537212801660977,0.09504121294256968,2.9542809087976667,0.20497748763828133
nocompile_b,5000,physical,B,0.11934126984126983,-0.11934126984126983,0.0974424603174603,-0.0974424603174603,1.4127587988355117e-17,0.7204842723035295,0.07466978632977098,0.39138975532010173,3.0291750144160923,0.18679634575695658
nocompile_b,5000,physical,BT,0.05251388888888889,-0.05251388888888889,0.05763293650793651,-0.05763293650793651,7.105427357601002e-18,1.2327323817286275,-0.017537212801660984,0.39138975532010173,2.9542809087976667,0.20497748763828133
