ckpt_group,step,head,tau_l2r,tau_rev_l2r,abs_tau_gt_0.5,quality,quality_std,frame,B_or_BT,near_diag_mass,row_entropy,top1_mass,margin
compile_a,5000,0,0.019545634920634918,-0.019545634920634918,0.0,0.08999669084969489,0.36338915498537794,model,B,0.09263828788911764,3.9134195428369667,0.051771715904049186,0.7752527907033062
compile_a,5000,1,0.04448611111111111,-0.04448611111111111,0.006,0.00407297111669956,0.7330503765750184,model,B,0.09692807419663511,1.9534605320446907,0.3111131098162255,1.7367981540447186
compile_a,5000,2,-0.028144841269841268,0.028144841269841268,0.004,0.4000823144214441,0.7195363438783139,model,B,0.0953314149619479,2.152846415099881,0.3351038119795036,2.1973674802478484
compile_a,5000,3,0.17304960317460316,-0.17304960317460316,0.016,0.20920387836450643,0.6831493367623286,model,B,0.09576004284360591,2.3370034675244327,0.3061340388175631,2.2858659743593672
compile_a,5000,4,-0.04591468253968254,0.04591468253968254,0.014,-0.09230809141835722,0.7169066378596701,model,B,0.09661976120240624,2.5926439250573776,0.2551352034086712,1.6169186860861533
compile_a,5000,5,-0.013698412698412696,0.013698412698412696,0.0,-0.4083508451253629,0.3923935903704305,model,B,0.0945987103978597,3.8768462193846274,0.05691384227133367,0.541828655646545
compile_a,5000,6,0.1470456349206349,-0.1470456349206349,0.04,0.010530878848014787,0.6455836253652241,model,B,0.09689512204861873,2.4184328486680546,0.31866973088308476,1.5992127822086968
compile_a,5000,7,-0.029599206349206347,0.029599206349206347,0.002,-0.21322779705663958,0.5324212615131593,model,B,0.09500025958779258,3.8031793701137335,0.06675277885441434,0.7862070049583064
compile_a,5000,0,-0.016533730158730157,0.016533730158730157,0.0,-0.44586241833277757,0.6990077946413664,model,BT,0.09263828788911764,3.8170063999535535,0.07051554059190653,1.0720403957671383
compile_a,5000,1,-0.014587301587301585,0.014587301587301585,0.012,-0.02082624887344065,0.8974063666419575,model,BT,0.09692807419663511,1.9243947477299943,0.3170446522557442,1.988334683289952
compile_a,5000,2,-0.06632738095238094,0.06632738095238094,0.152,0.8803378654824444,0.992364870320097,model,BT,0.0953314149619479,2.1094708788916914,0.3561774078378496,2.3495162198621036
compile_a,5000,3,0.0686329365079365,-0.0686329365079365,0.152,0.035323109624313814,0.9132659623125442,model,BT,0.0957600428436059,2.288924766852652,0.32158874738943066,2.4270378093901765
compile_a,5000,4,0.00944642857142857,-0.00944642857142857,0.014,0.41550687165345757,0.9150612896087417,model,BT,0.09661976120240624,2.549659005889582,0.2664865936450555,2.051790743566438
