setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
text	89	19066	22.196147	0.577407	0.964077	0.062239	0.175988	22.296875	0.03125	0.0	22.15873	0.5625	0.058775	0.012819
text	90	330480	32.249404	0.647479	0.95955	0.064697	0.184551	24.96875	0.015625	0.0	23.47619	0.515625	0.072961	0.011419
text	91	297371	24.02869	0.576896	0.960118	0.064744	0.183526	22.953125	0.03125	0.0	22.015873	0.515625	0.065316	0.011057
text	92	295108	19.746049	0.569769	0.96106	0.064822	0.182729	22.46875	0.046875	0.0	21.809524	0.59375	0.044347	0.00991
text	93	455493	22.525958	0.582454	0.962936	0.062014	0.180096	26.0	0.0	0.0	22.571429	0.53125	0.049534	0.010415
text	94	385302	22.86528	0.588313	0.960526	0.066406	0.187669	22.546875	0.015625	0.0	22.47619	0.5	0.040476	0.009951
text	95	90277	30.745319	0.654572	0.960848	0.064339	0.181446	24.640625	0.015625	0.0	22.619048	0.5625	0.069023	0.011255
text	96	378750	22.15972	0.594796	0.956117	0.069574	0.19475	23.203125	0.03125	0.0	24.47619	0.53125	0.038903	0.008626
text	97	392056	24.249606	0.616748	0.96012	0.065552	0.184372	22.765625	0.046875	0.0	23.15873	0.515625	0.053746	0.009234
text	98	346566	23.765642	0.595091	0.959623	0.064051	0.1822	22.359375	0.046875	0.0	22.031746	0.5	0.064668	0.010983
text	99	395429	23.508296	0.609187	0.962847	0.061146	0.177108	23.0625	0.046875	0.0	21.492063	0.515625	0.063829	0.01187
text	100	137364	22.777725	0.580555	0.962148	0.063578	0.178577	21.921875	0.046875	0.0	23.349206	0.5625	0.051405	0.010931
text	101	46142	20.567089	0.557525	0.961053	0.064655	0.18291	22.671875	0.0	0.0	20.301587	0.5	0.04711	0.010468
text	102	391852	21.189253	0.572495	0.962012	0.063305	0.17965	25.078125	0.03125	0.0	24.68254	0.546875	0.047545	0.00981
text	103	193394	20.458336	0.559275	0.959273	0.066653	0.18481	22.890625	0.0625	0.0	22.666667	0.578125	0.055091	0.010311
