step	n_strong	best_head	best_method	best_tau	destroyed_floor
0	0	L3H3	C-D+L	0.1319	0.0595
1000	0	L1H1	C-D+L	0.0962	0.0639
2000	2	L1H1	C-D+L	1.0	0.0655
3000	4	L1H1	C-D+L	1.0	0.0659
4000	3	L1H1	C-D+L	1.0	0.0652
5000	4	L0H2	C-D+L	1.0	0.0658
6000	6	L0H2	C-D+L	1.0	0.0655
7000	6	L0H1	C-D+L	1.0	0.0655
8000	5	L0H2	C-D+L	1.0	0.0665
9000	5	L0H2	C-D+L	1.0	0.0658
10000	4	L0H2	C-D+L	1.0	0.0658
