key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
lm_head.bias,other,50304,0.0032949531450867653,0.004279682412743568,0.09933093190193176,0.0991530790925026,0.9994508062511211
lm_head.weight,other,19316736,0.019800903275609016,0.026114804670214653,0.05195744335651398,0.0520206019282341,0.9200793547696847
transformer.final_layer.adaLN_final.1.bias,other,768,0.018185991793870926,0.0339260995388031,0.25367388129234314,0.2534274160861969,0.9942894367983431
transformer.final_layer.adaLN_final.1.weight,other,98304,0.029939191415905952,0.043301843106746674,0.07630336284637451,0.07731667906045914,0.9259641181470015
transformer.final_layer.ln_f.weight,norm,384,0.029857883229851723,0.046399932354688644,1.4225993156433105,1.4230879545211792,0.9994723460116999
transformer.h.0.adaLN.1.bias,other,2304,0.014079187996685505,0.021648898720741272,0.059248797595500946,0.059506263583898544,0.9604077547653528
transformer.h.0.adaLN.1.weight,other,294912,0.027149202302098274,0.03879857435822487,0.03541587293148041,0.03511376678943634,0.6926500990344807
transformer.h.0.attn.c_attn.weight,c_attn,442368,0.03361222892999649,0.04488438740372658,0.03924645483493805,0.03886476159095764,0.6164138034253361
transformer.h.0.attn.c_proj.weight,c_proj,147456,0.02935924381017685,0.03826237469911575,0.03338855132460594,0.033009789884090424,0.5987333773151645
transformer.h.0.attn.k_norm.weight,q_norm_k_norm,48,0.12148990482091904,0.16391226649284363,1.5572713613510132,1.4799600839614868,0.9957555065380841
transformer.h.0.attn.q_norm.weight,q_norm_k_norm,48,0.12149009853601456,0.16391243040561676,1.5572720766067505,1.479960560798645,0.9957554422045302
transformer.h.0.ln_1.weight,norm,384,0.02020704187452793,0.025991464033722878,0.901146411895752,0.8962551951408386,0.9995974280322473
transformer.h.0.ln_2.weight,norm,384,0.027590932324528694,0.03733639419078827,0.9444628357887268,0.9402080178260803,0.9992296506809565
transformer.h.0.mlp.c_fc.weight,mlp,589824,0.040173083543777466,0.05139559879899025,0.04404338821768761,0.04375813156366348,0.5743629208060069
transformer.h.0.mlp.c_proj.weight,c_proj,589824,0.040650058537721634,0.05216385796666145,0.0377284400165081,0.037414222955703735,0.41281263313438166
transformer.h.1.adaLN.1.bias,other,2304,0.014928804710507393,0.025788700208067894,0.04153577610850334,0.04160356521606445,0.8900153615244278
transformer.h.1.adaLN.1.weight,other,294912,0.029727067798376083,0.04310402646660805,0.044866833835840225,0.045309897512197495,0.768291514812542
transformer.h.1.attn.c_attn.weight,c_attn,442368,0.04606467857956886,0.06064833328127861,0.04104653000831604,0.041259560734033585,0.3842295749179263
transformer.h.1.attn.c_proj.weight,c_proj,147456,0.04629909619688988,0.05991976335644722,0.041349392384290695,0.04124628007411957,0.36821070793595545
transformer.h.1.attn.k_norm.weight,q_norm_k_norm,48,0.20059384405612946,0.2560560703277588,1.5770316123962402,1.6091279983520508,0.9874734112538246
transformer.h.1.attn.q_norm.weight,q_norm_k_norm,48,0.20059336721897125,0.256055623292923,1.5770326852798462,1.6091289520263672,0.9874734550420126
transformer.h.1.ln_1.weight,norm,384,0.026327813044190407,0.03616178408265114,1.0105030536651611,1.0120676755905151,0.9993654270357875
transformer.h.1.ln_2.weight,norm,384,0.02502559870481491,0.04134316369891167,0.981736421585083,0.9791569709777832,0.999118253220605
transformer.h.1.mlp.c_fc.weight,mlp,589824,0.039960652589797974,0.051016781479120255,0.0449710488319397,0.044916730374097824,0.5961586703802899
transformer.h.1.mlp.c_proj.weight,c_proj,589824,0.04191561043262482,0.05348438024520874,0.04125146195292473,0.041397131979465485,0.47850531560188747
transformer.h.2.adaLN.1.bias,other,2304,0.015804274007678032,0.02689032070338726,0.05944731459021568,0.05910398066043854,0.9312629406688965
transformer.h.2.adaLN.1.weight,other,294912,0.037197042256593704,0.058134328573942184,0.05786309018731117,0.056725356727838516,0.7194410869542236
transformer.h.2.attn.c_attn.weight,c_attn,442368,0.048633404076099396,0.06310359388589859,0.043702155351638794,0.043656203895807266,0.38114872981570624
transformer.h.2.attn.c_proj.weight,c_proj,147456,0.04828352481126785,0.06240338087081909,0.04415756091475487,0.044303975999355316,0.388420085640376
transformer.h.2.attn.k_norm.weight,q_norm_k_norm,48,0.24997325241565704,0.3086305558681488,1.948333740234375,2.03788685798645,0.9893085367133645
transformer.h.2.attn.q_norm.weight,q_norm_k_norm,48,0.2499721497297287,0.30862897634506226,1.9483388662338257,2.037890672683716,0.9893086526889645
transformer.h.2.ln_1.weight,norm,384,0.03966735675930977,0.05241800472140312,1.0107005834579468,1.0032881498336792,0.9986845617412594
transformer.h.2.ln_2.weight,norm,384,0.02029324509203434,0.02981419861316681,0.9464699625968933,0.9493703842163086,0.9995109167030134
transformer.h.2.mlp.c_fc.weight,mlp,589824,0.04044339060783386,0.05190986022353172,0.044589243829250336,0.044654421508312225,0.5758732757012069
transformer.h.2.mlp.c_proj.weight,c_proj,589824,0.04204922541975975,0.05401921644806862,0.04311773553490639,0.043166082352399826,0.5091292081626649
transformer.h.3.adaLN.1.bias,other,2304,0.013139515183866024,0.02317369543015957,0.04181726649403572,0.04280204325914383,0.9021990056910086
transformer.h.3.adaLN.1.weight,other,294912,0.02577526867389679,0.03766047582030296,0.036095067858695984,0.03726876899600029,0.7210620867133413
