key,group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
lm_head.bias,other,50304,0.0037076405715197325,0.004735373891890049,0.0991530790925026,0.0995945855975151,0.9993497746305247
lm_head.weight,other,19316736,0.02184777706861496,0.028650784865021706,0.0520206019282341,0.05202023684978485,0.9036350129918502
transformer.final_layer.adaLN_final.1.bias,other,768,0.02240409515798092,0.03981282562017441,0.2534274160861969,0.25436195731163025,0.9921616172480008
transformer.final_layer.adaLN_final.1.weight,other,98304,0.03156084939837456,0.04597419127821922,0.07731667906045914,0.07807466387748718,0.9187255704791244
transformer.final_layer.ln_f.weight,norm,384,0.03750058636069298,0.05521281808614731,1.4230879545211792,1.4229656457901,0.999253218255614
transformer.h.0.adaLN.1.bias,other,2304,0.015767661854624748,0.023793388158082962,0.059506263583898544,0.061124663800001144,0.9547632930219518
transformer.h.0.adaLN.1.weight,other,294912,0.02808423526585102,0.040465570986270905,0.03511376678943634,0.035644736140966415,0.6698566682191214
transformer.h.0.attn.c_attn.weight,c_attn,442368,0.037732236087322235,0.04988318681716919,0.03886476159095764,0.03933984786272049,0.5240735947102013
transformer.h.0.attn.c_proj.weight,c_proj,147456,0.032859280705451965,0.04236220195889473,0.033009789884090424,0.033111367374658585,0.5027575963662294
transformer.h.0.attn.k_norm.weight,q_norm_k_norm,48,0.12723487615585327,0.18704962730407715,1.4799600839614868,1.5105012655258179,0.992692241579973
transformer.h.0.attn.q_norm.weight,q_norm_k_norm,48,0.12723477184772491,0.18704968690872192,1.479960560798645,1.510501742362976,0.9926923463912306
transformer.h.0.ln_1.weight,norm,384,0.02267022617161274,0.030414821580052376,0.8962551951408386,0.899851381778717,0.999436265391849
transformer.h.0.ln_2.weight,norm,384,0.02910180576145649,0.03753870353102684,0.9402080178260803,0.930626392364502,0.99925155121687
transformer.h.0.mlp.c_fc.weight,mlp,589824,0.042096272110939026,0.05366163328289986,0.04375813156366348,0.043619174510240555,0.531739383721324
transformer.h.0.mlp.c_proj.weight,c_proj,589824,0.042119480669498444,0.053957488387823105,0.037414222955703735,0.037663865834474564,0.371314550766919
transformer.h.1.adaLN.1.bias,other,2304,0.01768059842288494,0.029398387297987938,0.04160356521606445,0.04173854738473892,0.8606028749485998
transformer.h.1.adaLN.1.weight,other,294912,0.031246036291122437,0.04509390518069267,0.045309897512197495,0.04607910290360451,0.7546186407294957
transformer.h.1.attn.c_attn.weight,c_attn,442368,0.04987501725554466,0.06552115827798843,0.041259560734033585,0.040398240089416504,0.2752176216107326
transformer.h.1.attn.c_proj.weight,c_proj,147456,0.05003998801112175,0.06436631083488464,0.04124628007411957,0.040117666125297546,0.25774745108206787
