group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
c_attn,1769472,0.04306177794933319,0.05666586756706238,0.04170728474855423,0.04165346547961235,0.4558570266645646
c_proj,2949120,0.04085507616400719,0.05269671604037285,0.04057891666889191,0.040524519979953766,0.4793372046221157
mlp,2359296,0.039966944605112076,0.051177557557821274,0.044545359909534454,0.044494904577732086,0.586172821146796
norm,3456,0.025936128571629524,0.03816922381520271,1.0234034061431885,1.022615909576416,0.9993215761468416
other,20688128,0.020395919680595398,0.027654534205794334,0.05169745162129402,0.0517621748149395,0.9116582881656525
q_norm_k_norm,384,0.16103704273700714,0.22092631459236145,1.6297160387039185,1.6479891538619995,0.9913251122429696
wpe,98688,0.027732184156775475,0.03737466037273407,0.026406314224004745,0.026740631088614464,0.4500396771254733
wte,19316736,0.024699734523892403,0.03285464271903038,0.03799513354897499,0.03797631710767746,0.7844022606820515
