group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
c_attn,1769472,0.04405515268445015,0.05794679373502731,0.04169950634241104,0.041634198278188705,0.4319155223363008
c_proj,2949120,0.041845474392175674,0.05395923927426338,0.040608592331409454,0.04051177576184273,0.4550897975304145
mlp,2359296,0.04056857153773308,0.051892392337322235,0.04441974312067032,0.044458016753196716,0.5732277057786707
norm,3456,0.027645524591207504,0.04089121147990227,1.0233092308044434,1.0241570472717285,0.9992229410478081
other,20688128,0.020863868296146393,0.028123915195465088,0.051818788051605225,0.05186232924461365,0.9090213999484393
q_norm_k_norm,384,0.1901479810476303,0.2452312707901001,1.6647310256958008,1.6968282461166382,0.989926002373025
wpe,98688,0.026144081726670265,0.03558332845568657,0.02616075612604618,0.025129025802016258,0.4781174949375022
wte,19316736,0.02519705705344677,0.03352145105600357,0.037989042699337006,0.03805961832404137,0.7759361365655912
