group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
c_attn,1769472,0.04762104153633118,0.06233639642596245,0.04170728474855423,0.04169950634241104,0.34284148707155065
c_proj,2949120,0.0460311695933342,0.05902756005525589,0.04057891666889191,0.040608592331409454,0.3480813590039512
mlp,2359296,0.04491952434182167,0.05728388950228691,0.044545359909534454,0.04441974312067032,0.48075794338902894
norm,3456,0.030475609004497528,0.043516673147678375,1.0234034061431885,1.0233092308044434,0.9991183836511932
other,20688128,0.022863445803523064,0.03071005456149578,0.05169745162129402,0.051818788051605225,0.8907784306934432
q_norm_k_norm,384,0.21492516994476318,0.2701524794101715,1.6297160387039185,1.6647310256958008,0.9871108181230536
wpe,98688,0.02695072814822197,0.03592824935913086,0.026406314224004745,0.02616075612604618,0.4862469475030138
wte,19316736,0.026673488318920135,0.03548458218574524,0.03799513354897499,0.037989042699337006,0.7480786851863505
