group,n,mean_abs_diff,rms_diff,mean_abs_a,mean_abs_b,cosine
c_attn,1769472,0.04737890139222145,0.06191324070096016,0.04165346547961235,0.041634198278188705,0.35014050656253115
c_proj,2949120,0.04482187703251839,0.05751624330878258,0.040524519979953766,0.04051177576184273,0.37955257836916245
mlp,2359296,0.043609052896499634,0.05564802512526512,0.044494904577732086,0.044458016753196716,0.5099192944184628
norm,3456,0.03110336884856224,0.04573918879032135,1.022615909576416,1.0241570472717285,0.9990279563949279
other,20688128,0.022470567375421524,0.03028956614434719,0.0517621748149395,0.05186232924461365,0.8939814803244435
q_norm_k_norm,384,0.22189848124980927,0.28264254331588745,1.6479891538619995,1.6968282461166382,0.9865831713911016
wpe,98688,0.027111399918794632,0.03650467097759247,0.026740631088614464,0.025129025802016258,0.4570349222504036
wte,19316736,0.026354752480983734,0.035065121948719025,0.03797631710767746,0.03805961832404137,0.7544780045188324
