ckpt_group,step,head,tau_l2r,tau_rev_l2r,abs_tau_gt_0.5,quality,quality_std,frame,B_or_BT,near_diag_mass,row_entropy,top1_mass,margin
old,5000,0,-0.313452380952381,0.313452380952381,0.538,-1.6126693632388702,0.9429989243598476,model,B,0.09544679135059829,2.231011040079201,0.27130849422082415,1.496787337067758
old,5000,1,-0.15587896825396821,0.15587896825396821,0.016,1.803150030874637,0.730981396177111,model,B,0.10416937929177557,1.569067218223753,0.5368321578311936,3.285736077769747
old,5000,2,0.11368650793650793,-0.11368650793650793,0.02,1.8624488904894163,0.8568740188607474,model,B,0.10709385439160393,1.1534854783081883,0.6686788463000177,3.7225664494690984
old,5000,3,-0.006498015873015871,0.006498015873015871,0.0,-1.112848088471373,0.763501180884395,model,B,0.09406775853955214,3.891508451657707,0.0514334676012187,0.5489172130563279
old,5000,4,-0.049063492063492066,0.049063492063492066,0.03,-1.0518869387569718,0.9357745876631536,model,B,0.09400247488323378,3.7053759110003353,0.08062510834263314,0.8909850921955583
old,5000,5,-0.02938690476190476,0.02938690476190476,0.0,-0.7605505465474821,0.7501872793048833,model,B,0.0931287012802056,3.902850911323209,0.05356457193866569,0.8101791630258242
old,5000,6,-0.19257738095238097,0.19257738095238097,0.436,-0.44609347065187654,0.9915953577012572,model,B,0.10036060958940117,2.694760647869042,0.20025476613529822,1.2435329669894772
old,5000,7,-0.05999603174603175,0.05999603174603175,0.004,1.3184494863025202,0.6043198152636048,model,B,0.09958349114621604,1.4114285529103017,0.5331536155771684,2.59906149133918
old,5000,0,-0.14690873015873016,0.14690873015873016,0.554,-1.0316505929365667,1.0986115976106623,model,BT,0.09544679135059829,2.1511041656948895,0.295962218819295,1.7135943684030965
old,5000,1,-0.1103174603174603,0.1103174603174603,0.19,1.6733003983783539,0.9087408338544284,model,BT,0.10416937929177555,1.515374111226787,0.5359253589971299,3.613784909526254
old,5000,2,-0.09091865079365079,0.09091865079365079,0.186,1.9508950920368133,0.9671692569366448,model,BT,0.10709385439160393,1.127584535349804,0.6549675854113509,4.0463822111985195
old,5000,3,0.08283928571428571,-0.08283928571428571,0.052,-0.8849131507850603,0.8436392113442187,model,BT,0.09406775853955214,3.8327160854689977,0.06232516056012153,0.8692312645079902
old,5000,4,0.04830753968253968,-0.04830753968253968,0.002,-0.8657661095860048,0.8962321103635971,model,BT,0.09400247488323378,3.5556427932020434,0.10717892897081367,1.3067174839151143
old,5000,5,0.03623214285714286,-0.03623214285714286,0.002,-0.7225200232491111,0.84385728068708,model,BT,0.0931287012802056,3.795785339945129,0.07646522206970895,1.1142931731340648
old,5000,6,0.1614246031746032,-0.1614246031746032,0.386,-0.7413124202817808,1.0295016883332113,model,BT,0.10036060958940117,2.5984830129308283,0.22290154517184999,1.469254531032558
old,5000,7,-0.19349007936507934,0.19349007936507934,0.356,0.6219668064233557,1.0495939423462342,model,BT,0.09958349114621602,1.3674429986510512,0.5377934150453467,2.7311337253371146
old,5000,0,-0.313452380952381,0.313452380952381,0.538,-1.6126693632388702,0.9429989243598474,physical,B,0.7288884401631583,2.231011040079201,0.27130849422082415,1.496787337067758
old,5000,1,-0.15587896825396821,0.15587896825396821,0.016,1.803150030874637,0.730981396177111,physical,B,0.7528735737395149,1.5690672182237533,0.5368321578311936,3.285736077769747
old,5000,2,0.11368650793650793,-0.11368650793650793,0.02,1.8624488904894163,0.8568740188607474,physical,B,0.8168481250951345,1.1534854783081883,0.6686788463000177,3.722566449469098
old,5000,3,-0.006498015873015871,0.006498015873015871,0.0,-1.1128480884713727,0.763501180884395,physical,B,0.16321039509047475,3.891508451657707,0.0514334676012187,0.5489172130563279
old,5000,4,-0.049063492063492066,0.049063492063492066,0.03,-1.0518869387569718,0.9357745876631536,physical,B,0.1612618642071003,3.7053759110003353,0.08062510834263316,0.8909850921955583
old,5000,5,-0.02938690476190476,0.02938690476190476,0.0,-0.7605505465474821,0.7501872793048833,physical,B,0.10735741019138063,3.9028509113232093,0.05356457193866569,0.8101791630258244
old,5000,6,-0.19257738095238097,0.19257738095238097,0.436,-0.4460934706518766,0.9915953577012572,physical,B,0.5207282130538494,2.694760647869042,0.20025476613529825,1.2435329669894772
