ckpt_group,step,frame,B_or_BT,consensus_tau_l2r,consensus_tau_rev_l2r,uniform_consensus_tau_l2r,uniform_consensus_tau_rev_l2r,mean_quality,std_quality,r_quality_abs_tau,mean_near_diag_mass,mean_row_entropy,mean_top1_mass
old,5000,model,B,-0.1235,0.1235,-0.22177976190476187,0.22177976190476187,1.4654943925052067e-17,1.569596989705325,-0.1938790356425547,0.09848163255907331,2.569936026421467,0.2994813784933775
old,5000,model,BT,-0.0279265873015873,0.0279265873015873,0.06953174603174603,-0.06953174603174603,-3.153033389935444e-17,1.5007507362505053,0.006496696280698726,0.09848163255907331,2.4930166303086914,0.3116899293807021
old,5000,physical,B,-0.1235,0.1235,-0.21791071428571432,0.21791071428571432,2.3536728122053318e-17,1.569596989705325,-0.1938790356425547,0.5166062833412595,2.569936026421467,0.2994813784933775
old,5000,physical,BT,-0.0279265873015873,0.0279265873015873,0.07319642857142857,-0.07319642857142857,-2.9531932455029166e-17,1.5007507362505053,0.006496696280698744,0.5166062833412595,2.4930166303086914,0.3116899293807021
old,10000,model,B,0.24318650793650795,-0.24318650793650795,0.026432539682539682,-0.026432539682539682,3.1086244689504384e-18,1.2471146641259472,0.08907997849251756,0.09787797818069592,2.4032463153532326,0.3589932732859237
old,10000,model,BT,0.10047023809523808,-0.10047023809523808,0.22981150793650792,-0.22981150793650792,2.220446049250313e-18,1.529860117002847,0.12340970330127785,0.09787797818069593,2.326157122632184,0.3712047023966529
old,10000,physical,B,0.24318650793650795,-0.24318650793650795,0.030924603174603178,-0.030924603174603178,5.551115123125783e-18,1.2471146641259472,0.08907997849251759,0.5650060452631496,2.4032463153532326,0.3589932732859236
old,10000,physical,BT,0.10047023809523808,-0.10047023809523808,0.23339285714285715,-0.23339285714285715,-2.220446049250313e-18,1.529860117002847,0.12340970330127787,0.5650060452631496,2.326157122632184,0.3712047023966529
old,20000,model,B,0.475656746031746,-0.475656746031746,0.1767202380952381,-0.1767202380952381,4.440892098500626e-19,1.4693942594710157,0.29663387325742935,0.09877636957301193,2.250316436212869,0.4174738144821576
old,20000,model,BT,-0.012585317460317458,0.012585317460317458,0.1577083333333333,-0.1577083333333333,-1.2878587085651817e-17,1.5141219739978031,0.14690201656491314,0.09877636957301193,2.1739964439806387,0.43173005270540155
old,20000,physical,B,0.475656746031746,-0.475656746031746,0.18093253968253967,-0.18093253968253967,5.773159728050814e-18,1.4693942594710157,0.2966338732574294,0.6107736587798996,2.250316436212869,0.41747381448215765
old,20000,physical,BT,-0.012585317460317458,0.012585317460317458,0.16170238095238093,-0.16170238095238093,-3.996802888650563e-18,1.5141219739978031,0.14690201656491314,0.6107736587798996,2.1739964439806387,0.43173005270540155
new,5000,model,B,-0.019581349206349203,0.019581349206349203,0.017222222222222222,-0.017222222222222222,-1.1546319456101627e-17,0.9612470325031136,-0.007956054689203162,0.09601468155947243,2.7548838237552546,0.23488735634912586
new,5000,model,BT,0.04260119047619047,-0.04260119047619047,0.024950396825396823,-0.024950396825396823,1.0325074129013956e-17,1.2254940775967236,-0.12466603378124516,0.09601468155947242,2.6985632602615155,0.2479962043868503
new,5000,physical,B,-0.019581349206349203,0.019581349206349203,0.021597222222222223,-0.021597222222222223,-1.1102230246251566e-17,0.9612470325031136,-0.007956054689203169,0.3936956056823624,2.7548838237552546,0.23488735634912586
new,5000,physical,BT,0.04260119047619047,-0.04260119047619047,0.028835317460317453,-0.028835317460317453,1.199040866595169e-17,1.2254940775967236,-0.12466603378124516,0.3936956056823624,2.6985632602615155,0.2479962043868503
new,10000,model,B,-0.1123829365079365,0.1123829365079365,-0.09259722222222223,0.09259722222222223,9.769962616701377e-18,0.9127717472346413,0.052570926685702346,0.09637150505550648,2.6259033178247857,0.27370428379949463
new,10000,model,BT,0.0018650793650793658,-0.0018650793650793658,-0.014468253968253969,0.014468253968253969,1.1324274851176596e-17,1.1297256633098722,-0.01955328682053238,0.09637150505550647,2.5731019287859187,0.2857784179921495
new,10000,physical,B,-0.1123829365079365,0.1123829365079365,-0.08820238095238095,0.08820238095238095,1.1324274851176596e-17,0.9127717472346413,0.05257092668570233,0.4113038837511226,2.6259033178247857,0.27370428379949463
new,10000,physical,BT,0.0018650793650793658,-0.0018650793650793658,-0.010440476190476193,0.010440476190476193,-1.6653345369377347e-18,1.1297256633098722,-0.019553286820532374,0.4113038837511226,2.5731019287859187,0.2857784179921495
new,20000,model,B,-0.015811507936507936,0.015811507936507936,0.006978174603174601,-0.006978174603174601,-8.215650382226158e-18,0.8449431355208472,0.11750103045454074,0.09767198113447212,2.50697429021344,0.30264890066668515
new,20000,model,BT,-0.014928571428571426,0.014928571428571426,-0.02339285714285714,0.02339285714285714,-1.865174681370263e-17,1.067362586746578,0.02460667913826244,0.09767198113447212,2.454597310895291,0.3132721893563817
new,20000,physical,B,-0.015811507936507936,0.015811507936507936,0.011289682539682537,-0.011289682539682537,-1.5543122344752192e-18,0.8449431355208472,0.11750103045454076,0.41404626407435174,2.5069742902134404,0.30264890066668515
new,20000,physical,BT,-0.014928571428571426,0.014928571428571426,-0.019311507936507936,0.019311507936507936,-8.215650382226158e-18,1.067362586746578,0.024606679138262425,0.41404626407435174,2.4545973108952914,0.3132721893563817
