Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step   420->  421/10000 | loss=5.6259 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 184s
step   430->  431/10000 | loss=5.7479 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 186s
step   440->  441/10000 | loss=5.6989 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 189s
step   450->  451/10000 | loss=5.6953 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 191s
step   460->  461/10000 | loss=5.6338 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 194s
step   470->  471/10000 | loss=5.6320 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 196s
step   480->  481/10000 | loss=5.7129 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 198s
step   490->  491/10000 | loss=5.5948 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 201s
step   500->  501/10000 | loss=5.6189 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 203s
step   510->  511/10000 | loss=5.6270 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 206s
step   520->  521/10000 | loss=5.5385 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 208s
step   530->  531/10000 | loss=5.5885 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 211s
step   540->  541/10000 | loss=5.6072 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 213s
step   550->  551/10000 | loss=5.6323 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 39m | total 216s
step   560->  561/10000 | loss=5.5460 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 218s
step   570->  571/10000 | loss=5.5102 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 220s
step   580->  581/10000 | loss=5.5624 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 223s
step   590->  591/10000 | loss=5.5726 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 225s
[Eval @ 600] alpha=0.0000
[Eval @ 600] train_obj=5.5391 | ori_l2r=5.4660 | model_order=5.5402 | unstructured=5.5391 | rw=5.5290
step   600->  601/10000 | loss=5.6229 | alpha=0.000 | lr=1.00e-03 | 2.81s/step | ETA 7.3h | total 253s
step   610->  611/10000 | loss=5.5012 | alpha=0.000 | lr=1.00e-03 | 0.25s/step | ETA 38m | total 256s
step   620->  621/10000 | loss=5.4956 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 258s
step   630->  631/10000 | loss=5.6399 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 261s
step   640->  641/10000 | loss=5.5087 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 263s
step   650->  651/10000 | loss=5.5740 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 266s
step   660->  661/10000 | loss=5.5747 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 268s
step   670->  671/10000 | loss=5.4667 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 271s
step   680->  681/10000 | loss=5.4754 | alpha=0.000 | lr=1.00e-03 | 0.24s/step | ETA 38m | total 273s
