seed,layer,head,n_valid,cross_variance,noise_floor,content_variance,content_floor_ratio,r2_raw,r2_norm,r2_raw_null,r2_norm_null,r2_raw_excess,pairwise_sim,verdict
2,0,2,24,0.000741,4.9e-05,0.000693,14.248,0.9706,0.9013,-0.08,0.6831,0.973,0.9063,B+
2,0,3,24,0.000308,3.1e-05,0.000277,8.801,0.9665,0.9402,-0.08,0.6831,0.969,0.9454,B+
2,0,4,15,0.000535,2.6e-05,0.000508,19.372,0.9599,0.9064,-0.08,0.6831,0.963,0.9174,B+
2,0,5,24,0.001629,0.000199,0.00143,7.167,0.9946,0.7604,-0.08,0.6831,0.995,0.7753,B+
