step,diffuse_count,mass_entropy,softmax_entropy,top1_layer_share,strong_L0,strong_L1,strong_L2,strong_L3
0,30,3.4646,3.4651,0.2543,0,0,0,0
200,32,3.4638,3.4642,0.2672,0,0,0,4
400,32,3.4644,3.4646,0.2556,0,0,2,1
600,32,3.4647,3.465,0.2557,0,1,0,0
800,32,3.4647,3.4649,0.2533,0,0,0,1
1000,32,3.4644,3.4647,0.2538,0,1,1,2
1200,29,3.4587,3.4613,0.2628,1,1,0,2
1400,13,3.4522,3.4589,0.2713,1,0,0,0
1600,10,3.4309,3.4526,0.2644,1,0,0,1
1800,10,3.38,3.4414,0.2663,0,0,0,1
2000,14,3.3752,3.4353,0.3366,0,4,0,1
2200,13,3.3108,3.4242,0.3495,0,4,0,1
2400,12,3.361,3.4336,0.3053,0,3,0,1
2600,12,3.3016,3.4259,0.3268,0,3,0,1
2800,11,3.3543,3.4328,0.3129,0,3,0,1
3000,11,3.3526,3.4306,0.3278,0,3,0,1
3200,10,3.3147,3.4275,0.3491,0,4,0,0
3400,12,3.3274,3.4268,0.358,0,5,0,0
3600,10,3.3339,3.4287,0.3559,0,5,0,0
3800,11,3.3438,3.4323,0.3433,0,3,0,0
4000,12,3.3431,3.4312,0.3463,0,4,0,0
4200,10,3.322,3.4319,0.3426,0,3,0,0
4400,10,3.3664,3.4345,0.3469,0,4,0,0
4600,8,3.3415,3.4319,0.3581,0,3,0,0
4800,8,3.3506,3.4351,0.3429,0,3,0,0
5000,10,3.3718,3.4363,0.3326,0,4,0,0
5200,9,3.3498,3.4317,0.3535,0,4,0,0
5400,7,3.3519,3.4344,0.3519,0,3,0,0
5600,9,3.3751,3.4387,0.3275,0,3,0,0
5800,10,3.3597,3.4349,0.3386,0,3,0,0
6000,8,3.361,3.4368,0.3346,0,3,0,0
6200,11,3.3408,3.4327,0.3399,0,3,0,0
6400,9,3.3697,3.4373,0.3258,0,3,0,0
6600,7,3.3549,3.4358,0.331,0,3,0,0
6800,8,3.3612,3.4356,0.3345,0,3,0,0
7000,10,3.37,3.4366,0.3298,0,4,0,0
7200,8,3.3286,3.4332,0.337,0,3,0,0
7400,8,3.3611,3.4346,0.346,0,3,0,0
7600,9,3.3527,3.433,0.3419,0,4,0,0
7800,9,3.3656,3.4347,0.3341,0,4,0,0
8000,7,3.3649,3.4367,0.3311,0,3,0,0
8200,8,3.3591,3.4334,0.3495,0,4,0,0
8400,8,3.3509,3.4336,0.3443,0,3,0,0
8600,8,3.354,3.4345,0.3358,0,3,0,0
8800,8,3.3467,3.4332,0.3411,0,3,0,0
9000,7,3.3274,3.4309,0.3388,0,3,0,0
9200,9,3.3422,3.4305,0.3565,0,4,0,0
9400,8,3.3652,3.4365,0.3277,0,3,0,0
9600,8,3.3583,3.4364,0.3371,0,3,0,0
9800,8,3.3561,3.4352,0.3283,0,3,0,0
10000,8,3.3623,3.4343,0.343,0,4,0,0
