ckpt_group,step,head,tau_l2r,tau_rev_l2r,abs_tau_gt_0.5,quality,quality_std,frame,B_or_BT,near_diag_mass,row_entropy,top1_mass,margin
new,5000,0,0.8850545634920636,-0.8850545634920636,0.91,1.458282552040327,0.8513245087286343,model,B,0.1057373289159098,1.8782267202922338,0.5919515459123924,4.312125863450846
new,5000,1,0.20404761904761906,-0.20404761904761906,0.27,-0.04032426243625484,0.510843879117113,model,B,0.09449456884664724,3.9123132531779574,0.05376871932502543,0.6660131978683514
new,5000,2,-0.8608730158730158,0.8608730158730158,0.92,-1.5627738756834686,0.9498818717948334,model,B,0.09645877333636131,2.3344223594350746,0.25054986322917405,1.4282421725963597
new,5000,3,-0.2140327380952381,0.2140327380952381,0.235,-0.5683314055841276,0.7340967674004031,model,B,0.09311168722925332,3.7160243958528145,0.06836520473958993,0.5988201590248752
new,5000,4,0.0390922619047619,-0.0390922619047619,0.0,0.02352838395151921,0.47772766523030663,model,B,0.09332276951417662,4.035083733136033,0.043317497715188835,0.6979748505005441
new,5000,5,-0.1980952380952381,0.1980952380952381,0.76,-0.4322849430647857,0.7762746399414338,model,B,0.09517731396752512,3.6920342735444818,0.06959706192573722,0.6500861607444396
new,5000,6,-0.01800099206349207,0.01800099206349207,0.495,-0.08797589255495736,0.6606598616658788,model,B,0.095027914912961,3.850291711454136,0.05641113172119096,0.5974201900450253
new,5000,7,0.9826984126984126,-0.9826984126984126,0.985,1.2098794433317481,0.9300242714485363,model,B,0.10793767679001892,1.5641777847069176,0.65511227135161,4.15170390474242
new,5000,0,-0.9446875,0.9446875,0.985,1.9327989276338042,0.8589691273149068,model,BT,0.1057373289159098,1.836077243795103,0.5975163787829129,5.073794491136436
new,5000,1,0.01873015873015873,-0.01873015873015873,0.175,-0.45555226612999916,0.850094720210638,model,BT,0.09449456884664724,3.864581212935597,0.06128784438502402,0.8662989761464266
new,5000,2,0.35166170634920635,-0.35166170634920635,0.875,-0.9503673732511223,1.4565077726236724,model,BT,0.09645877333636133,2.297537223796884,0.2579034148947254,1.9051168948121306
new,5000,3,-0.1746626984126984,0.1746626984126984,0.69,-0.5138617513423387,0.8672476503143061,model,BT,0.09311168722925332,3.6855833853203235,0.07487968293025564,0.7314965912670358
new,5000,4,-0.0011160714285714268,0.0011160714285714268,0.0,-0.4331213971328845,0.7914457802803553,model,BT,0.09332276951417662,3.9972173960242903,0.04763760895232699,0.9490019899888693
new,5000,5,-0.021512896825396827,0.021512896825396827,0.63,-0.7479149492677035,0.9893634944530986,model,BT,0.09517731396752512,3.6532335961701006,0.07776611240405645,0.7452655288513955
new,5000,6,-0.08383928571428571,0.08383928571428571,0.64,-0.6292458536941501,0.9613442310794469,model,BT,0.095027914912961,3.8156372632359523,0.06272728006254312,0.7274957776133408
new,5000,7,-0.9996626984126985,0.9996626984126985,1.0,1.797264663184394,0.8537509920480507,model,BT,0.10793767679001892,1.5162469946530763,0.6618037522988941,4.8159258470328945
new,5000,0,0.8850545634920636,-0.8850545634920636,0.91,1.458282552040327,0.8513245087286343,physical,B,0.7244150174506129,1.8782267202922338,0.5919515459123924,4.312125863450846
new,5000,1,0.20404761904761906,-0.20404761904761906,0.27,-0.04032426243625482,0.510843879117113,physical,B,0.18175374792265145,3.9123132531779574,0.053768719325025444,0.6660131978683514
new,5000,2,-0.8608730158730158,0.8608730158730158,0.92,-1.5627738756834686,0.9498818717948335,physical,B,0.7558338193527879,2.3344223594350746,0.25054986322917405,1.4282421725963597
new,5000,3,-0.2140327380952381,0.2140327380952381,0.235,-0.5683314055841276,0.7340967674004031,physical,B,0.26989581538980606,3.7160243958528145,0.06836520473958994,0.5988201590248752
new,5000,4,0.0390922619047619,-0.0390922619047619,0.0,0.023528383951519204,0.47772766523030663,physical,B,0.11893711187035622,4.035083733136032,0.043317497715188835,0.6979748505005441
new,5000,5,-0.1980952380952381,0.1980952380952381,0.76,-0.4322849430647858,0.7762746399414338,physical,B,0.26255013174391706,3.6920342735444818,0.06959706192573724,0.6500861607444396
new,5000,6,-0.01800099206349207,0.01800099206349207,0.495,-0.08797589255495733,0.6606598616658788,physical,B,0.20724340331131944,3.850291711454136,0.05641113172119096,0.5974201900450253
new,5000,7,0.9826984126984126,-0.9826984126984126,0.985,1.209879443331748,0.9300242714485363,physical,B,0.7778046403742956,1.5641777847069176,0.65511227135161,4.15170390474242
new,5000,0,-0.9446875,0.9446875,0.985,1.9327989276338042,0.8589691273149069,physical,BT,0.7244150174506129,1.836077243795103,0.5975163787829129,5.073794491136436
new,5000,1,0.01873015873015873,-0.01873015873015873,0.175,-0.45555226612999916,0.850094720210638,physical,BT,0.18175374792265145,3.864581212935597,0.06128784438502402,0.8662989761464266
new,5000,2,0.35166170634920635,-0.35166170634920635,0.875,-0.9503673732511223,1.4565077726236724,physical,BT,0.7558338193527879,2.297537223796884,0.2579034148947254,1.9051168948121306
new,5000,3,-0.1746626984126984,0.1746626984126984,0.69,-0.5138617513423386,0.8672476503143061,physical,BT,0.26989581538980606,3.6855833853203235,0.07487968293025564,0.7314965912670358
new,5000,4,-0.0011160714285714268,0.0011160714285714268,0.0,-0.4331213971328845,0.7914457802803553,physical,BT,0.11893711187035622,3.9972173960242903,0.04763760895232699,0.9490019899888693
new,5000,5,-0.021512896825396827,0.021512896825396827,0.63,-0.7479149492677035,0.9893634944530987,physical,BT,0.26255013174391706,3.6532335961701006,0.07776611240405645,0.7452655288513955
new,5000,6,-0.08383928571428571,0.08383928571428571,0.64,-0.62924585369415,0.9613442310794468,physical,BT,0.20724340331131944,3.8156372632359523,0.06272728006254312,0.7274957776133408
new,5000,7,-0.9996626984126985,0.9996626984126985,1.0,1.797264663184394,0.8537509920480507,physical,BT,0.7778046403742956,1.5162469946530763,0.6618037522988942,4.815925847032895
